barrier_id,person_id,transition_id,barrier_type,barrier_text,severity_score
893,911,1796,Financial constraints,Lost income made it hard to switch careers.,1
894,480,946,Family responsibilities,Hard to relocate or change jobs with family needs.,3
895,480,946,Financial constraints,Lost income made it hard to switch careers.,1
896,739,1442,Lack of experience,Rejected due to limited experience in tech.,1
897,333,664,Lack of experience,Didn't meet job requirements in new field.,1
898,333,664,Financial constraints,Couldn't afford tuition fees for reskilling.,1
899,552,1073,Financial constraints,Couldn't afford tuition fees for reskilling.,2
900,213,431,No support system,Lacked mentorship or guidance in new field.,2
901,1433,2838,Age-related bias,Felt overlooked due to being older than peers.,5
902,1433,2838,Family responsibilities,Family obligations delayed career transition.,4
903,65,133,Age-related bias,Concerned about competing with younger talent.,4
904,65,133,Mental health issues,Burnout made it hard to explore options.,3
905,853,1674,No support system,Lacked mentorship or guidance in new field.,2
906,853,1674,Lack of experience,Struggled to get interviews without domain experience.,1
907,1021,2035,Lack of education,Didn't meet the education criteria for the new role.,4
908,1021,2035,Fear of failure,Fear of starting over held me back.,3
909,317,633,Age-related bias,Felt overlooked due to being older than peers.,3
910,317,633,Fear of failure,Scared to leave a stable job for uncertainty.,3
911,1192,2364,Financial constraints,Couldn't afford tuition fees for reskilling.,3
912,1192,2364,Lack of education,Felt underqualified without a diploma in the new field.,5
913,401,792,Financial constraints,Cost of certification programs was too high.,3
914,691,1348,Lack of experience,Rejected due to limited experience in tech.,2
915,138,283,Lack of experience,Rejected due to limited experience in tech.,1
916,1106,2199,Time limitations,Couldn't attend classes due to long work hours.,3
917,1106,2199,Lack of experience,Didn't meet job requirements in new field.,3
918,856,1680,Financial constraints,Lost income made it hard to switch careers.,2
919,856,1680,Mental health issues,Burnout made it hard to explore options.,5
920,723,1410,Age-related bias,Concerned about competing with younger talent.,5
921,723,1410,Mental health issues,Depression impacted confidence to pursue a new career.,4
922,1276,2533,Lack of education,Didn't meet the education criteria for the new role.,5
923,1432,2837,Financial constraints,Lost income made it hard to switch careers.,2
924,1405,2780,Mental health issues,Anxiety affected my ability to commit to change.,4
925,1405,2780,Lack of education,Missing degree was a major hurdle.,3
926,155,315,Time limitations,Balancing a full-time job left no time for study.,2
927,150,303,Family responsibilities,Hard to relocate or change jobs with family needs.,3
928,150,303,Age-related bias,Hiring managers assumed I couldn't adapt.,2
929,1361,2688,No support system,Lacked mentorship or guidance in new field.,4
930,1361,2688,Lack of experience,Struggled to get interviews without domain experience.,1
931,1056,2100,Age-related bias,Felt overlooked due to being older than peers.,2
932,171,344,No support system,Felt isolated during the transition process.,4
933,1447,2862,No support system,No one to discuss career options with.,3
934,236,481,Lack of experience,Struggled to get interviews without domain experience.,4
935,916,1803,Mental health issues,Anxiety affected my ability to commit to change.,1
936,916,1803,Lack of experience,Didn't meet job requirements in new field.,3
937,941,1855,Time limitations,Transition delayed due to lack of free time.,5
938,941,1855,Financial constraints,Cost of certification programs was too high.,5
939,964,1908,No support system,Felt isolated during the transition process.,3
940,964,1908,Financial constraints,Couldn't afford tuition fees for reskilling.,5
941,1437,2848,Lack of experience,Struggled to get interviews without domain experience.,4
942,124,257,Fear of failure,Fear of starting over held me back.,5
943,1271,2524,No support system,Felt isolated during the transition process.,4
944,1271,2524,Age-related bias,Hiring managers assumed I couldn't adapt.,1
945,693,1353,Fear of failure,Fear of starting over held me back.,2
946,693,1353,No support system,No one to discuss career options with.,5
947,238,484,Lack of education,Felt underqualified without a diploma in the new field.,4
948,822,1611,Age-related bias,Concerned about competing with younger talent.,5
949,822,1611,No support system,No one to discuss career options with.,1
950,508,1003,No support system,Felt isolated during the transition process.,2
951,434,857,Financial constraints,Cost of certification programs was too high.,4
952,324,648,Lack of education,Felt underqualified without a diploma in the new field.,1
953,732,1430,Mental health issues,Burnout made it hard to explore options.,1
954,598,1161,Age-related bias,Hiring managers assumed I couldn't adapt.,5
955,1348,2661,Lack of education,Didn't meet the education criteria for the new role.,2
956,1464,2897,Family responsibilities,Couldn't attend evening courses due to childcare.,1
957,1464,2897,Fear of failure,Worried about not succeeding in a new industry.,1
958,1402,2773,Lack of education,Didn't meet the education criteria for the new role.,3
959,54,113,Mental health issues,Anxiety affected my ability to commit to change.,5
960,54,113,Time limitations,Couldn't attend classes due to long work hours.,3
961,902,1774,Financial constraints,Couldn't afford tuition fees for reskilling.,5
962,902,1774,Mental health issues,Burnout made it hard to explore options.,4
963,849,1664,Fear of failure,Fear of starting over held me back.,3
964,1458,2887,No support system,Lacked mentorship or guidance in new field.,3
965,1458,2887,Fear of failure,Scared to leave a stable job for uncertainty.,2
966,237,483,Family responsibilities,Family obligations delayed career transition.,1
967,237,483,Lack of experience,Didn't meet job requirements in new field.,4
968,328,654,Fear of failure,Worried about not succeeding in a new industry.,2
969,328,654,Lack of experience,Struggled to get interviews without domain experience.,1
970,1489,2954,Lack of education,Didn't meet the education criteria for the new role.,2
971,1489,2954,Financial constraints,Lost income made it hard to switch careers.,4
972,1358,2683,Lack of experience,Struggled to get interviews without domain experience.,4
973,259,522,Age-related bias,Felt overlooked due to being older than peers.,4
974,511,1008,Financial constraints,Cost of certification programs was too high.,4
975,1091,2169,Family responsibilities,Hard to relocate or change jobs with family needs.,2
976,392,775,Mental health issues,Depression impacted confidence to pursue a new career.,5
977,392,775,Age-related bias,Felt overlooked due to being older than peers.,4
978,1312,2596,Time limitations,Transition delayed due to lack of free time.,4
979,1312,2596,Fear of failure,Worried about not succeeding in a new industry.,4
980,1243,2468,Family responsibilities,Hard to relocate or change jobs with family needs.,1
981,397,787,Financial constraints,Lost income made it hard to switch careers.,5
982,397,787,Age-related bias,Concerned about competing with younger talent.,3
983,1240,2463,No support system,Lacked mentorship or guidance in new field.,4
984,47,97,Lack of experience,Didn't meet job requirements in new field.,3
985,1317,2607,Lack of experience,Rejected due to limited experience in tech.,5
986,1065,2122,Mental health issues,Anxiety affected my ability to commit to change.,5
987,498,984,Mental health issues,Anxiety affected my ability to commit to change.,2
988,871,1714,Age-related bias,Hiring managers assumed I couldn't adapt.,1
989,1270,2522,Fear of failure,Worried about not succeeding in a new industry.,1
990,163,329,Fear of failure,Worried about not succeeding in a new industry.,5
991,453,890,No support system,Lacked mentorship or guidance in new field.,2
992,1445,2859,Lack of experience,Didn't meet job requirements in new field.,1
993,1445,2859,Mental health issues,Burnout made it hard to explore options.,1
994,270,542,Age-related bias,Concerned about competing with younger talent.,2
995,270,542,Mental health issues,Depression impacted confidence to pursue a new career.,5
996,1284,2548,Family responsibilities,Family obligations delayed career transition.,4
997,174,351,Lack of experience,Struggled to get interviews without domain experience.,2
998,164,331,Lack of education,Felt underqualified without a diploma in the new field.,1
999,164,331,Fear of failure,Fear of starting over held me back.,4
1000,913,1799,Mental health issues,Anxiety affected my ability to commit to change.,4
1001,913,1799,Fear of failure,Scared to leave a stable job for uncertainty.,5
1002,1281,2541,Family responsibilities,Family obligations delayed career transition.,5
1003,1281,2541,Time limitations,Balancing a full-time job left no time for study.,1
1004,895,1762,No support system,No one to discuss career options with.,1
1005,895,1762,Mental health issues,Depression impacted confidence to pursue a new career.,5
1006,978,1935,No support system,Lacked mentorship or guidance in new field.,3
1007,978,1935,Mental health issues,Depression impacted confidence to pursue a new career.,4
1008,1227,2439,Lack of experience,Rejected due to limited experience in tech.,1
1009,1227,2439,Age-related bias,Hiring managers assumed I couldn't adapt.,4
1010,1199,2376,Lack of education,Felt underqualified without a diploma in the new field.,3
1011,852,1672,Lack of education,Felt underqualified without a diploma in the new field.,3
1012,852,1672,No support system,Lacked mentorship or guidance in new field.,2
1013,838,1641,Family responsibilities,Hard to relocate or change jobs with family needs.,1
1014,865,1701,Financial constraints,Cost of certification programs was too high.,5
1015,865,1701,Fear of failure,Scared to leave a stable job for uncertainty.,5
1016,958,1894,No support system,No one to discuss career options with.,4
1017,958,1894,Lack of experience,Rejected due to limited experience in tech.,2
1018,450,884,Age-related bias,Felt overlooked due to being older than peers.,4
1019,450,884,Lack of education,Didn't meet the education criteria for the new role.,3
1020,939,1850,Family responsibilities,Family obligations delayed career transition.,3
1021,218,443,Time limitations,Couldn't attend classes due to long work hours.,5
1022,1498,2972,Age-related bias,Felt overlooked due to being older than peers.,1
1023,423,833,Fear of failure,Scared to leave a stable job for uncertainty.,3
1024,423,833,Mental health issues,Depression impacted confidence to pursue a new career.,4
1025,1005,1993,Lack of education,Didn't meet the education criteria for the new role.,4
1026,1005,1993,Family responsibilities,Family obligations delayed career transition.,3
1027,1037,2065,Financial constraints,Couldn't afford tuition fees for reskilling.,4
1028,1037,2065,Age-related bias,Concerned about competing with younger talent.,2
1029,114,240,Mental health issues,Anxiety affected my ability to commit to change.,5
1030,1299,2573,Age-related bias,Hiring managers assumed I couldn't adapt.,1
1031,1201,2379,Lack of education,Felt underqualified without a diploma in the new field.,3
1032,1201,2379,Financial constraints,Cost of certification programs was too high.,5
1033,875,1722,Fear of failure,Scared to leave a stable job for uncertainty.,5
1034,875,1722,Lack of experience,Rejected due to limited experience in tech.,3
1035,1309,2592,Family responsibilities,Family obligations delayed career transition.,3
1036,1309,2592,Lack of education,Felt underqualified without a diploma in the new field.,5
1037,1318,2608,Age-related bias,Hiring managers assumed I couldn't adapt.,3
1038,1318,2608,Lack of education,Missing degree was a major hurdle.,1
1039,1232,2447,Mental health issues,Burnout made it hard to explore options.,3
1040,1232,2447,No support system,Felt isolated during the transition process.,5
1041,329,656,Family responsibilities,Family obligations delayed career transition.,3
1042,1165,2313,Family responsibilities,Couldn't attend evening courses due to childcare.,3
1043,1165,2313,Mental health issues,Depression impacted confidence to pursue a new career.,1
1044,961,1900,No support system,No one to discuss career options with.,2
1045,985,1949,Lack of experience,Rejected due to limited experience in tech.,3
1046,985,1949,No support system,No one to discuss career options with.,4
1047,1332,2633,Financial constraints,Cost of certification programs was too high.,1
1048,1013,2012,Family responsibilities,Family obligations delayed career transition.,1
1049,248,502,Time limitations,Transition delayed due to lack of free time.,2
1050,384,764,Time limitations,Couldn't attend classes due to long work hours.,3
1051,184,370,Family responsibilities,Hard to relocate or change jobs with family needs.,3
1052,82,169,Financial constraints,Cost of certification programs was too high.,3
1053,82,169,Time limitations,Couldn't attend classes due to long work hours.,3
1054,182,365,Age-related bias,Concerned about competing with younger talent.,5
1055,18,38,Mental health issues,Depression impacted confidence to pursue a new career.,2
1056,18,38,Financial constraints,Lost income made it hard to switch careers.,3
1057,1490,2957,Family responsibilities,Hard to relocate or change jobs with family needs.,5
1058,358,714,Age-related bias,Felt overlooked due to being older than peers.,5
1059,74,151,No support system,Lacked mentorship or guidance in new field.,5
1060,74,151,Lack of education,Didn't meet the education criteria for the new role.,1
1061,1366,2697,Fear of failure,Scared to leave a stable job for uncertainty.,1
1062,709,1382,Time limitations,Transition delayed due to lack of free time.,4
1063,493,976,No support system,No one to discuss career options with.,5
1064,688,1340,Lack of education,Missing degree was a major hurdle.,2
1065,1316,2604,Family responsibilities,Hard to relocate or change jobs with family needs.,1
1066,1316,2604,Lack of experience,Struggled to get interviews without domain experience.,4
1067,232,471,Family responsibilities,Family obligations delayed career transition.,2
1068,232,471,Mental health issues,Burnout made it hard to explore options.,2
1069,473,932,Time limitations,Balancing a full-time job left no time for study.,4
1070,698,1363,Age-related bias,Concerned about competing with younger talent.,5
1071,570,1105,Mental health issues,Anxiety affected my ability to commit to change.,5
1072,570,1105,Fear of failure,Fear of starting over held me back.,3
1073,751,1468,Lack of experience,Struggled to get interviews without domain experience.,5
1074,751,1468,No support system,Lacked mentorship or guidance in new field.,1
1075,677,1320,Lack of experience,Struggled to get interviews without domain experience.,5
1076,677,1320,Lack of education,Felt underqualified without a diploma in the new field.,1
1077,386,767,Mental health issues,Burnout made it hard to explore options.,3
1078,753,1472,Family responsibilities,Hard to relocate or change jobs with family needs.,5
1079,1138,2260,Financial constraints,Couldn't afford tuition fees for reskilling.,3
1080,1138,2260,Fear of failure,Scared to leave a stable job for uncertainty.,3
1081,1406,2783,Fear of failure,Fear of starting over held me back.,1
1082,1406,2783,No support system,Felt isolated during the transition process.,3
1083,1499,2974,Mental health issues,Anxiety affected my ability to commit to change.,5
1084,574,1116,Age-related bias,Hiring managers assumed I couldn't adapt.,1
1085,717,1399,Mental health issues,Burnout made it hard to explore options.,4
1086,897,1764,Lack of experience,Didn't meet job requirements in new field.,4
1087,1460,2890,Lack of experience,Struggled to get interviews without domain experience.,3
1088,1460,2890,Time limitations,Couldn't attend classes due to long work hours.,5
1089,662,1291,No support system,Felt isolated during the transition process.,5
1090,547,1065,Lack of education,Felt underqualified without a diploma in the new field.,3
1091,547,1065,Fear of failure,Fear of starting over held me back.,3
1092,1365,2696,Time limitations,Couldn't attend classes due to long work hours.,1
1093,969,1916,Time limitations,Transition delayed due to lack of free time.,5
1094,969,1916,Family responsibilities,Hard to relocate or change jobs with family needs.,5
1095,531,1042,Age-related bias,Felt overlooked due to being older than peers.,1
1096,1448,2866,Lack of education,Missing degree was a major hurdle.,3
1097,1486,2947,Family responsibilities,Family obligations delayed career transition.,2
1098,1486,2947,Lack of experience,Struggled to get interviews without domain experience.,5
1099,185,372,Family responsibilities,Family obligations delayed career transition.,1
1100,59,125,Family responsibilities,Couldn't attend evening courses due to childcare.,4
1101,1434,2839,Lack of experience,Rejected due to limited experience in tech.,5
1102,1434,2839,Financial constraints,Couldn't afford tuition fees for reskilling.,1
1103,385,766,No support system,Felt isolated during the transition process.,4
1104,385,766,Lack of education,Felt underqualified without a diploma in the new field.,5
1105,1268,2518,Time limitations,Transition delayed due to lack of free time.,2
1106,1359,2685,Fear of failure,Fear of starting over held me back.,5
1107,1359,2685,Family responsibilities,Hard to relocate or change jobs with family needs.,4
1108,1333,2635,Lack of experience,Didn't meet job requirements in new field.,4
1109,505,998,No support system,Lacked mentorship or guidance in new field.,3
1110,505,998,Lack of experience,Struggled to get interviews without domain experience.,5
1111,1487,2949,Lack of experience,Struggled to get interviews without domain experience.,2
1112,1487,2949,Fear of failure,Scared to leave a stable job for uncertainty.,4
1113,352,704,Fear of failure,Worried about not succeeding in a new industry.,4
1114,1320,2615,Financial constraints,Cost of certification programs was too high.,2
1115,1320,2615,Lack of experience,Struggled to get interviews without domain experience.,1
1116,595,1151,Family responsibilities,Hard to relocate or change jobs with family needs.,1
1117,595,1151,No support system,No one to discuss career options with.,4
1118,1263,2508,Mental health issues,Depression impacted confidence to pursue a new career.,3
1119,1263,2508,Financial constraints,Couldn't afford tuition fees for reskilling.,2
1120,1025,2042,Mental health issues,Anxiety affected my ability to commit to change.,4
1121,1025,2042,Time limitations,Transition delayed due to lack of free time.,2
1122,1319,2611,Age-related bias,Felt overlooked due to being older than peers.,2
1123,1319,2611,Family responsibilities,Hard to relocate or change jobs with family needs.,5
1124,357,713,Fear of failure,Worried about not succeeding in a new industry.,5
1125,357,713,Family responsibilities,Couldn't attend evening courses due to childcare.,1
1126,562,1090,Lack of education,Missing degree was a major hurdle.,1
1127,562,1090,No support system,No one to discuss career options with.,3
1128,34,77,Time limitations,Transition delayed due to lack of free time.,5
1129,34,77,Age-related bias,Hiring managers assumed I couldn't adapt.,2
1130,51,107,No support system,Felt isolated during the transition process.,1
1131,51,107,Time limitations,Balancing a full-time job left no time for study.,4
1132,160,325,Lack of education,Missing degree was a major hurdle.,1
1133,160,325,Age-related bias,Hiring managers assumed I couldn't adapt.,2
1134,981,1941,Age-related bias,Felt overlooked due to being older than peers.,3
1135,981,1941,Financial constraints,Cost of certification programs was too high.,5
1136,1182,2343,Fear of failure,Scared to leave a stable job for uncertainty.,4
1137,1182,2343,Financial constraints,Couldn't afford tuition fees for reskilling.,1
1138,1127,2240,Mental health issues,Anxiety affected my ability to commit to change.,2
1139,1127,2240,Financial constraints,Cost of certification programs was too high.,2
1140,891,1756,Financial constraints,Couldn't afford tuition fees for reskilling.,4
1141,876,1726,Lack of education,Missing degree was a major hurdle.,1
1142,640,1245,Mental health issues,Depression impacted confidence to pursue a new career.,1
1143,640,1245,Age-related bias,Concerned about competing with younger talent.,5
1144,92,193,Time limitations,Transition delayed due to lack of free time.,4
1145,99,210,Time limitations,Balancing a full-time job left no time for study.,1
1146,272,547,Financial constraints,Couldn't afford tuition fees for reskilling.,4
1147,272,547,No support system,Lacked mentorship or guidance in new field.,4
1148,38,83,Age-related bias,Felt overlooked due to being older than peers.,2
1149,38,83,Time limitations,Balancing a full-time job left no time for study.,4
1150,637,1241,Age-related bias,Concerned about competing with younger talent.,5
1151,726,1418,Time limitations,Couldn't attend classes due to long work hours.,2
1152,726,1418,Lack of experience,Struggled to get interviews without domain experience.,3
1153,1086,2158,Fear of failure,Scared to leave a stable job for uncertainty.,2
1154,1086,2158,Lack of experience,Rejected due to limited experience in tech.,2
1155,616,1198,No support system,Felt isolated during the transition process.,1
1156,616,1198,Financial constraints,Couldn't afford tuition fees for reskilling.,5
1157,863,1695,Time limitations,Transition delayed due to lack of free time.,1
1158,863,1695,Mental health issues,Depression impacted confidence to pursue a new career.,3
1159,203,407,Time limitations,Transition delayed due to lack of free time.,3
1160,934,1843,Age-related bias,Hiring managers assumed I couldn't adapt.,4
1161,934,1843,Lack of education,Felt underqualified without a diploma in the new field.,3
1162,1308,2590,Family responsibilities,Hard to relocate or change jobs with family needs.,1
1163,1308,2590,Time limitations,Couldn't attend classes due to long work hours.,1
1164,820,1608,Mental health issues,Depression impacted confidence to pursue a new career.,1
1165,628,1223,Mental health issues,Burnout made it hard to explore options.,2
1166,373,743,Family responsibilities,Hard to relocate or change jobs with family needs.,3
1167,1426,2822,Fear of failure,Scared to leave a stable job for uncertainty.,2
1168,491,970,Financial constraints,Cost of certification programs was too high.,2
1169,491,970,Time limitations,Balancing a full-time job left no time for study.,2
1170,500,987,Fear of failure,Fear of starting over held me back.,1
1171,588,1138,No support system,Felt isolated during the transition process.,4
1172,588,1138,Time limitations,Transition delayed due to lack of free time.,2
1173,12,25,Family responsibilities,Hard to relocate or change jobs with family needs.,1
1174,12,25,Age-related bias,Felt overlooked due to being older than peers.,1
1175,309,618,Age-related bias,Felt overlooked due to being older than peers.,5
1176,242,493,Fear of failure,Fear of starting over held me back.,2
1177,1108,2204,No support system,Lacked mentorship or guidance in new field.,5
1178,1108,2204,Fear of failure,Worried about not succeeding in a new industry.,2
1179,304,610,Age-related bias,Hiring managers assumed I couldn't adapt.,4
1180,304,610,Lack of experience,Rejected due to limited experience in tech.,3
1181,655,1272,Family responsibilities,Couldn't attend evening courses due to childcare.,5
1182,1046,2083,No support system,Felt isolated during the transition process.,2
1183,609,1182,Time limitations,Transition delayed due to lack of free time.,5
1184,1064,2118,Time limitations,Transition delayed due to lack of free time.,4
1185,1064,2118,No support system,Felt isolated during the transition process.,2
1186,974,1928,Lack of experience,Struggled to get interviews without domain experience.,3
1187,974,1928,Family responsibilities,Family obligations delayed career transition.,4
1188,1077,2142,Lack of experience,Rejected due to limited experience in tech.,1
1189,948,1871,No support system,Felt isolated during the transition process.,4
1190,949,1873,Mental health issues,Burnout made it hard to explore options.,3
1191,949,1873,Family responsibilities,Hard to relocate or change jobs with family needs.,2
1192,780,1528,Mental health issues,Depression impacted confidence to pursue a new career.,1
1193,1184,2348,Family responsibilities,Hard to relocate or change jobs with family needs.,5
1194,518,1020,Financial constraints,Couldn't afford tuition fees for reskilling.,3
1195,1257,2495,Time limitations,Couldn't attend classes due to long work hours.,3
1196,1414,2802,Mental health issues,Depression impacted confidence to pursue a new career.,1
1197,311,624,Fear of failure,Scared to leave a stable job for uncertainty.,2
1198,592,1144,No support system,Lacked mentorship or guidance in new field.,3
1199,592,1144,Time limitations,Balancing a full-time job left no time for study.,3
1200,1208,2396,Financial constraints,Lost income made it hard to switch careers.,5
1201,1208,2396,Fear of failure,Worried about not succeeding in a new industry.,5
1202,107,222,No support system,Lacked mentorship or guidance in new field.,1
1203,107,222,Family responsibilities,Hard to relocate or change jobs with family needs.,4
1204,623,1212,No support system,Felt isolated during the transition process.,4
1205,623,1212,Fear of failure,Worried about not succeeding in a new industry.,3
1206,1253,2486,Fear of failure,Scared to leave a stable job for uncertainty.,4
1207,1253,2486,Mental health issues,Burnout made it hard to explore options.,4
1208,1062,2114,Age-related bias,Concerned about competing with younger talent.,1
1209,1062,2114,Financial constraints,Cost of certification programs was too high.,5
1210,115,242,Age-related bias,Felt overlooked due to being older than peers.,2
1211,115,242,Financial constraints,Couldn't afford tuition fees for reskilling.,5
1212,198,396,Mental health issues,Anxiety affected my ability to commit to change.,2
1213,198,396,Lack of experience,Didn't meet job requirements in new field.,4
1214,40,86,Time limitations,Couldn't attend classes due to long work hours.,2
1215,684,1332,Family responsibilities,Family obligations delayed career transition.,3
1216,684,1332,Mental health issues,Depression impacted confidence to pursue a new career.,5
1217,131,270,Financial constraints,Lost income made it hard to switch careers.,2
1218,131,270,Time limitations,Balancing a full-time job left no time for study.,3
1219,372,739,Age-related bias,Felt overlooked due to being older than peers.,2
1220,372,739,No support system,No one to discuss career options with.,4
1221,100,211,Age-related bias,Concerned about competing with younger talent.,4
1222,100,211,Financial constraints,Lost income made it hard to switch careers.,5
1223,1241,2465,No support system,Lacked mentorship or guidance in new field.,3
1224,172,347,Mental health issues,Burnout made it hard to explore options.,3
1225,1061,2111,Family responsibilities,Family obligations delayed career transition.,2
1226,1474,2919,Lack of education,Didn't meet the education criteria for the new role.,4
1227,1286,2550,Fear of failure,Worried about not succeeding in a new industry.,2
1228,1286,2550,No support system,Felt isolated during the transition process.,3
1229,1103,2193,Lack of experience,Rejected due to limited experience in tech.,4
1230,1092,2170,Financial constraints,Cost of certification programs was too high.,4
1231,1326,2625,Age-related bias,Hiring managers assumed I couldn't adapt.,1
1232,1326,2625,Lack of education,Felt underqualified without a diploma in the new field.,5
1233,63,131,Family responsibilities,Hard to relocate or change jobs with family needs.,2
1234,63,131,Lack of experience,Didn't meet job requirements in new field.,5
1235,1161,2306,Time limitations,Transition delayed due to lack of free time.,4
1236,1161,2306,Financial constraints,Couldn't afford tuition fees for reskilling.,4
1237,1279,2538,Lack of education,Missing degree was a major hurdle.,4
1238,1279,2538,Financial constraints,Cost of certification programs was too high.,5
1239,6,14,Fear of failure,Worried about not succeeding in a new industry.,3
1240,6,14,No support system,Lacked mentorship or guidance in new field.,3
1241,1178,2337,Mental health issues,Depression impacted confidence to pursue a new career.,1
1242,1178,2337,Time limitations,Couldn't attend classes due to long work hours.,2
1243,210,425,Fear of failure,Fear of starting over held me back.,3
1244,210,425,No support system,Felt isolated during the transition process.,1
1245,340,679,Fear of failure,Worried about not succeeding in a new industry.,2
1246,823,1612,Mental health issues,Burnout made it hard to explore options.,4
1247,1152,2288,Age-related bias,Felt overlooked due to being older than peers.,4
1248,1152,2288,Fear of failure,Scared to leave a stable job for uncertainty.,5
1249,627,1220,Age-related bias,Concerned about competing with younger talent.,3
1250,627,1220,Family responsibilities,Family obligations delayed career transition.,2
1251,154,312,Age-related bias,Hiring managers assumed I couldn't adapt.,5
1252,1079,2147,No support system,Lacked mentorship or guidance in new field.,3
1253,665,1296,Financial constraints,Couldn't afford tuition fees for reskilling.,2
1254,665,1296,Mental health issues,Anxiety affected my ability to commit to change.,3
1255,1144,2270,Fear of failure,Fear of starting over held me back.,1
1256,690,1346,Family responsibilities,Family obligations delayed career transition.,2
1257,216,436,Lack of education,Missing degree was a major hurdle.,3
1258,216,436,Family responsibilities,Hard to relocate or change jobs with family needs.,1
1259,901,1773,Time limitations,Transition delayed due to lack of free time.,1
1260,901,1773,Family responsibilities,Hard to relocate or change jobs with family needs.,1
1261,180,361,Family responsibilities,Family obligations delayed career transition.,4
1262,675,1315,Family responsibilities,Couldn't attend evening courses due to childcare.,4
1263,451,886,Fear of failure,Fear of starting over held me back.,2
1264,451,886,Financial constraints,Cost of certification programs was too high.,5
1265,972,1922,Age-related bias,Felt overlooked due to being older than peers.,4
1266,972,1922,Lack of education,Missing degree was a major hurdle.,3
1267,1047,2084,Age-related bias,Concerned about competing with younger talent.,1
1268,922,1815,Lack of experience,Rejected due to limited experience in tech.,2
1269,922,1815,Mental health issues,Anxiety affected my ability to commit to change.,3
1270,813,1596,Lack of experience,Didn't meet job requirements in new field.,4
1271,101,213,Fear of failure,Scared to leave a stable job for uncertainty.,2
1272,635,1239,Fear of failure,Fear of starting over held me back.,3
1273,975,1929,Time limitations,Balancing a full-time job left no time for study.,3
1274,1451,2874,Mental health issues,Anxiety affected my ability to commit to change.,3
1275,78,161,Lack of education,Felt underqualified without a diploma in the new field.,4
1276,78,161,Mental health issues,Anxiety affected my ability to commit to change.,4
1277,928,1829,Lack of experience,Rejected due to limited experience in tech.,5
1278,1197,2372,No support system,Felt isolated during the transition process.,4
1279,873,1718,Lack of experience,Rejected due to limited experience in tech.,5
1280,832,1629,Lack of experience,Struggled to get interviews without domain experience.,3
1281,832,1629,Age-related bias,Concerned about competing with younger talent.,4
1282,885,1745,Family responsibilities,Family obligations delayed career transition.,1
1283,885,1745,Lack of education,Didn't meet the education criteria for the new role.,1
1284,776,1518,Mental health issues,Depression impacted confidence to pursue a new career.,2
1285,776,1518,Financial constraints,Cost of certification programs was too high.,1
1286,1231,2446,Time limitations,Balancing a full-time job left no time for study.,5
1287,1231,2446,No support system,No one to discuss career options with.,2
1288,192,382,Age-related bias,Hiring managers assumed I couldn't adapt.,3
1289,192,382,Family responsibilities,Family obligations delayed career transition.,5
1290,1105,2198,Lack of education,Missing degree was a major hurdle.,4
1291,1105,2198,Family responsibilities,Family obligations delayed career transition.,1
1292,1313,2599,Mental health issues,Burnout made it hard to explore options.,4
1293,660,1286,Age-related bias,Concerned about competing with younger talent.,3
1294,660,1286,Lack of experience,Rejected due to limited experience in tech.,1
1295,252,510,No support system,No one to discuss career options with.,5
1296,515,1016,Family responsibilities,Hard to relocate or change jobs with family needs.,2
1297,515,1016,Fear of failure,Scared to leave a stable job for uncertainty.,2
1298,381,758,Mental health issues,Anxiety affected my ability to commit to change.,1
1299,381,758,Family responsibilities,Couldn't attend evening courses due to childcare.,4
1300,1157,2298,Fear of failure,Scared to leave a stable job for uncertainty.,2
1301,1157,2298,Time limitations,Balancing a full-time job left no time for study.,4
1302,597,1158,No support system,Felt isolated during the transition process.,5
1303,777,1521,Financial constraints,Lost income made it hard to switch careers.,1
1304,777,1521,Mental health issues,Anxiety affected my ability to commit to change.,3
1305,1167,2316,Time limitations,Couldn't attend classes due to long work hours.,4
1306,1473,2915,Fear of failure,Fear of starting over held me back.,1
1307,389,771,Family responsibilities,Couldn't attend evening courses due to childcare.,2
1308,425,838,Mental health issues,Burnout made it hard to explore options.,1
1309,1221,2424,Fear of failure,Fear of starting over held me back.,4
1310,1221,2424,No support system,Felt isolated during the transition process.,2
1311,299,599,Fear of failure,Scared to leave a stable job for uncertainty.,2
1312,1420,2810,Time limitations,Transition delayed due to lack of free time.,4
1313,1420,2810,Age-related bias,Felt overlooked due to being older than peers.,1
1314,1247,2474,Financial constraints,Lost income made it hard to switch careers.,2
1315,257,518,No support system,Lacked mentorship or guidance in new field.,5
1316,257,518,Lack of education,Felt underqualified without a diploma in the new field.,2
1317,1249,2479,Fear of failure,Scared to leave a stable job for uncertainty.,4
1318,426,840,Lack of experience,Rejected due to limited experience in tech.,4
1319,426,840,Time limitations,Balancing a full-time job left no time for study.,5
1320,1219,2420,Family responsibilities,Family obligations delayed career transition.,3
1321,1053,2095,Lack of education,Missing degree was a major hurdle.,3
1322,1053,2095,Time limitations,Transition delayed due to lack of free time.,3
1323,156,317,Time limitations,Couldn't attend classes due to long work hours.,5
1324,156,317,Family responsibilities,Family obligations delayed career transition.,2
1325,633,1233,Lack of experience,Struggled to get interviews without domain experience.,3
1326,633,1233,Mental health issues,Anxiety affected my ability to commit to change.,1
1327,298,597,No support system,No one to discuss career options with.,3
